"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"failed","Sun May 26 06:32:58 UTC 2024","Sun May 26 06:33:18 UTC 2024","19651","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun May 26 06:09:01 UTC 2024","Sun May 26 06:09:02 UTC 2024","233","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun May 26 06:44:02 UTC 2024","Sun May 26 06:44:14 UTC 2024","11320","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Sun May 26 06:29:12 UTC 2024","Sun May 26 06:29:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Sun May 26 08:27:09 UTC 2024","Sun May 26 08:27:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun May 26 06:11:09 UTC 2024","Sun May 26 06:11:10 UTC 2024","1468","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun May 26 06:08:59 UTC 2024","Sun May 26 06:09:01 UTC 2024","2564","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"broken","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun May 26 06:43:40 UTC 2024","Sun May 26 06:43:43 UTC 2024","2754","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Sun May 26 08:27:09 UTC 2024","Sun May 26 08:27:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Sun May 26 06:29:12 UTC 2024","Sun May 26 06:29:12 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Sun May 26 06:29:12 UTC 2024","Sun May 26 06:29:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun May 26 06:11:02 UTC 2024","Sun May 26 06:11:04 UTC 2024","1520","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun May 26 06:49:23 UTC 2024","Sun May 26 06:49:37 UTC 2024","13839","","18. Check Admin header","","","","1. Log in using manager login",""
"broken","Sun May 26 08:27:09 UTC 2024","Sun May 26 08:27:09 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Sun May 26 06:29:12 UTC 2024","Sun May 26 06:29:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun May 26 05:47:41 UTC 2024","Sun May 26 05:48:46 UTC 2024","64576","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Sun May 26 08:27:09 UTC 2024","Sun May 26 08:27:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sun May 26 06:10:45 UTC 2024","Sun May 26 06:11:02 UTC 2024","17167","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun May 26 06:56:37 UTC 2024","Sun May 26 06:56:41 UTC 2024","4255","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun May 26 06:43:43 UTC 2024","Sun May 26 06:43:45 UTC 2024","2012","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun May 26 06:56:06 UTC 2024","Sun May 26 06:56:25 UTC 2024","18927","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Sun May 26 06:29:12 UTC 2024","Sun May 26 06:29:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sun May 26 06:08:43 UTC 2024","Sun May 26 06:08:59 UTC 2024","15483","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun May 26 06:44:14 UTC 2024","Sun May 26 06:44:24 UTC 2024","10079","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Sun May 26 08:27:09 UTC 2024","Sun May 26 08:27:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun May 26 07:30:25 UTC 2024","Sun May 26 07:30:33 UTC 2024","7521","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun May 26 06:43:38 UTC 2024","Sun May 26 06:43:40 UTC 2024","2511","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun May 26 06:43:45 UTC 2024","Sun May 26 06:43:50 UTC 2024","5062","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sun May 26 05:50:14 UTC 2024","Sun May 26 05:50:30 UTC 2024","15985","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sun May 26 06:49:37 UTC 2024","Sun May 26 06:53:46 UTC 2024","248646","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun May 26 06:09:02 UTC 2024","Sun May 26 06:09:20 UTC 2024","18262","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Sun May 26 08:27:09 UTC 2024","Sun May 26 08:27:09 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun May 26 06:11:04 UTC 2024","Sun May 26 06:11:09 UTC 2024","4844","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"failed","Sun May 26 06:44:24 UTC 2024","Sun May 26 06:46:56 UTC 2024","152238","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Sun May 26 06:06:40 UTC 2024","Sun May 26 06:06:40 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun May 26 06:56:35 UTC 2024","Sun May 26 06:56:37 UTC 2024","2383","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
